Faturamento do dia;Data;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
R$2 845,14;13/01/2026;R$ 0,00;R$ 153,23;R$ 438,79;R$ 176,37;R$ 144,27;R$ 47,61;R$ 279,91;R$ 226,13;R$ 291,21;R$ 741,92;R$ 209,99;R$ 74,58;R$ 61,13;R$ 0,00;R$ 0,00
R$3 110,93;14/01/2026;R$ 0,00;R$ 258,39;R$ 8,80;R$ 125,61;R$ 91,42;R$ 143,46;R$ 251,79;R$ 404,02;R$ 497,66;R$ 854,32;R$ 255,53;R$ 182,03;R$ 37,90;R$ 0,00;R$ 0,00
R$3 337,84;15/01/2026;R$ 0,00;R$ 42,24;R$ 92,37;R$ 21,88;R$ 173,27;R$ 137,90;R$ 436,09;R$ 431,91;R$ 518,94;R$ 253,13;R$ 451,43;R$ 650,93;R$ 120,05;R$ 7,70;R$ 0,00
R$3 003,56;16/01/2026;R$ 0,00;R$ 39,38;R$ 315,37;R$ 117,15;R$ 31,79;R$ 40,89;R$ 325,01;R$ 137,50;R$ 663,32;R$ 369,88;R$ 164,66;R$ 407,19;R$ 370,26;R$ 21,16;R$ 0,00
R$3 547,82;17/01/2026;R$ 0,00;R$ 70,10;R$ 114,07;R$ 485,54;R$ 45,54;R$ 197,12;R$ 282,32;R$ 213,13;R$ 352,86;R$ 791,43;R$ 480,69;R$ 311,19;R$ 203,83;R$ 0,00;R$ 0,00
R$1 977,67;18/01/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 99,44;R$ 99,55;R$ 198,26;R$ 94,12;R$ 263,19;R$ 324,66;R$ 215,73;R$ 290,68;R$ 392,04;R$ 0,00;R$ 0,00;R$ 0,00
R$3 006,16;19/01/2026;R$ 0,00;R$ 23,71;R$ 197,42;R$ 121,19;R$ 53,57;R$ 84,68;R$ 366,56;R$ 435,05;R$ 505,74;R$ 426,21;R$ 356,34;R$ 209,21;R$ 186,45;R$ 40,03;R$ 0,00
R$2 056,06;20/01/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 47,19;R$ 0,00;R$ 14,00;R$ 81,98;R$ 303,37;R$ 625,06;R$ 531,94;R$ 158,93;R$ 176,33;R$ 117,26;R$ 0,00;R$ 0,00
R$2 637,97;21/01/2026;R$ 0,00;R$ 22,99;R$ 189,95;R$ 97,76;R$ 155,84;R$ 131,98;R$ 141,24;R$ 539,79;R$ 336,49;R$ 42,78;R$ 494,89;R$ 256,83;R$ 227,43;R$ 0,00;R$ 0,00
R$2 656,94;22/01/2026;R$ 0,00;R$ 0,00;R$ 193,29;R$ 115,17;R$ 103,31;R$ 102,21;R$ 135,08;R$ 462,24;R$ 308,05;R$ 487,85;R$ 273,02;R$ 289,54;R$ 135,48;R$ 51,70;R$ 0,00
R$2 367,83;23/01/2026;R$ 0,00;R$ 134,73;R$ 197,12;R$ 298,98;R$ 147,85;R$ 73,54;R$ 40,48;R$ 320,64;R$ 445,79;R$ 171,54;R$ 199,43;R$ 337,73;R$ 0,00;R$ 0,00;R$ 0,00
R$4 258,63;24/01/2026;R$ 0,00;R$ 76,50;R$ 283,29;R$ 339,78;R$ 411,93;R$ 252,11;R$ 276,12;R$ 234,85;R$ 624,91;R$ 705,41;R$ 444,14;R$ 554,92;R$ 22,99;R$ 31,68;R$ 0,00
R$2 139,80;25/01/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8,00;R$ 178,62;R$ 163,27;R$ 46,65;R$ 152,35;R$ 353,86;R$ 219,33;R$ 486,22;R$ 212,61;R$ 318,89;R$ 0,00;R$ 0,00
R$2 257,08;26/01/2026;R$ 0,00;R$ 0,00;R$ 188,43;R$ 54,23;R$ 302,80;R$ 82,17;R$ 52,69;R$ 289,79;R$ 383,15;R$ 243,91;R$ 185,84;R$ 189,28;R$ 32,78;R$ 252,01;R$ 0,00
R$1 977,68;27/01/2026;R$ 0,00;R$ 217,10;R$ 14,30;R$ 9,90;R$ 37,40;R$ 149,34;R$ 289,63;R$ 406,42;R$ 235,16;R$ 291,52;R$ 257,62;R$ 69,29;R$ 0,00;R$ 0,00;R$ 0,00
R$2 201,84;28/01/2026;R$ 0,00;R$ 20,90;R$ 168,96;R$ 141,56;R$ 38,39;R$ 96,47;R$ 411,89;R$ 308,93;R$ 251,52;R$ 393,31;R$ 235,63;R$ 100,40;R$ 33,88;R$ 0,00;R$ 0,00
R$1 858,17;29/01/2026;R$ 0,00;R$ 162,90;R$ 57,87;R$ 86,57;R$ 61,58;R$ 89,57;R$ 76,78;R$ 565,60;R$ 75,57;R$ 542,86;R$ 105,38;R$ 0,00;R$ 0,00;R$ 33,49;R$ 0,00
R$3 278,43;30/01/2026;R$ 0,00;R$ 66,77;R$ 148,97;R$ 82,28;R$ 148,72;R$ 119,54;R$ 117,26;R$ 431,09;R$ 595,91;R$ 605,94;R$ 670,25;R$ 222,73;R$ 18,59;R$ 50,38;R$ 0,00
R$5 076,94;31/01/2026;R$ 0,00;R$ 313,60;R$ 261,09;R$ 361,10;R$ 351,62;R$ 302,42;R$ 360,58;R$ 636,26;R$ 778,03;R$ 752,80;R$ 712,71;R$ 153,45;R$ 72,38;R$ 20,90;R$ 0,00
R$1 734,83;01/02/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 108,29;R$ 438,04;R$ 93,58;R$ 151,57;R$ 220,22;R$ 137,35;R$ 170,06;R$ 264,99;R$ 150,73;R$ 0,00;R$ 0,00;R$ 0,00
R$2 496,96;02/02/2026;R$ 0,00;R$ 51,52;R$ 162,57;R$ 126,27;R$ 75,57;R$ 71,51;R$ 66,38;R$ 322,08;R$ 327,70;R$ 276,18;R$ 367,99;R$ 601,95;R$ 47,24;R$ 0,00;R$ 0,00
R$2 575,21;03/02/2026;R$ 0,00;R$ 115,17;R$ 282,88;R$ 151,16;R$ 132,28;R$ 202,18;R$ 158,73;R$ 458,27;R$ 266,11;R$ 566,83;R$ 125,77;R$ 91,88;R$ 23,95;R$ 0,00;R$ 0,00
R$2 566,57;04/02/2026;R$ 0,00;R$ 132,44;R$ 319,27;R$ 255,98;R$ 124,85;R$ 185,24;R$ 140,86;R$ 489,10;R$ 560,28;R$ 147,56;R$ 127,95;R$ 56,10;R$ 26,94;R$ 0,00;R$ 0,00
R$2 702,52;05/02/2026;R$ 0,00;R$ 49,13;R$ 251,35;R$ 235,12;R$ 48,18;R$ 174,46;R$ 119,08;R$ 226,70;R$ 599,78;R$ 600,94;R$ 305,90;R$ 0,00;R$ 2,12;R$ 89,76;R$ 0,00
R$3 545,34;06/02/2026;R$ 31,80;R$ 61,27;R$ 71,28;R$ 403,61;R$ 295,79;R$ 186,93;R$ 269,46;R$ 217,72;R$ 423,16;R$ 628,43;R$ 412,84;R$ 447,23;R$ 127,62;R$ 0,00;R$ 0,00
R$4 499,97;07/02/2026;R$ 15,21;R$ 85,47;R$ 298,07;R$ 392,01;R$ 171,94;R$ 297,77;R$ 304,80;R$ 540,90;R$ 335,50;R$ 802,82;R$ 498,85;R$ 526,23;R$ 54,67;R$ 190,94;R$ 8,50
R$2 474,73;08/02/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 116,05;R$ 158,36;R$ 145,33;R$ 160,33;R$ 242,11;R$ 657,61;R$ 364,21;R$ 250,39;R$ 290,01;R$ 90,33;R$ 0,00;R$ 0,00
R$2 745,32;09/02/2026;R$ 0,00;R$ 92,10;R$ 148,09;R$ 159,70;R$ 258,29;R$ 316,89;R$ 59,69;R$ 333,17;R$ 307,08;R$ 457,03;R$ 356,60;R$ 176,61;R$ 80,07;R$ 0,00;R$ 0,00
R$1 909,57;10/02/2026;R$ 0,00;R$ 143,33;R$ 134,99;R$ 81,49;R$ 46,19;R$ 0,00;R$ 142,56;R$ 365,38;R$ 415,24;R$ 306,57;R$ 171,93;R$ 2,12;R$ 99,77;R$ 0,00;R$ 0,00
R$2 333,79;11/02/2026;R$ 0,00;R$ 39,38;R$ 253,66;R$ 147,77;R$ 65,89;R$ 118,27;R$ 306,81;R$ 350,21;R$ 266,60;R$ 222,64;R$ 160,55;R$ 359,60;R$ 42,41;R$ 0,00;R$ 0,00
R$2 681,83;12/02/2026;R$ 0,00;R$ 142,56;R$ 298,43;R$ 94,05;R$ 147,14;R$ 271,87;R$ 61,59;R$ 298,40;R$ 424,96;R$ 575,56;R$ 117,15;R$ 143,42;R$ 43,80;R$ 62,90;R$ 0,00
R$2 765,23;13/02/2026;R$ 0,00;R$ 91,65;R$ 116,25;R$ 310,54;R$ 127,24;R$ 21,45;R$ 109,38;R$ 303,56;R$ 287,34;R$ 394,92;R$ 591,27;R$ 333,87;R$ 0,00;R$ 77,76;R$ 0,00
R$1 468,13;14/02/2026;R$ 38,16;R$ 97,48;R$ 575,74;R$ 88,88;R$ 70,18;R$ 52,58;R$ 152,57;R$ 168,75;R$ 189,68;R$ 72,27;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$1 421,28;18/02/2026;R$ 0,00;R$ 15,66;R$ 85,30;R$ 71,19;R$ 20,20;R$ 100,69;R$ 141,28;R$ 157,85;R$ 197,80;R$ 257,02;R$ 175,87;R$ 106,26;R$ 92,16;R$ 0,00;R$ 0,00
R$1 957,92;19/02/2026;R$ 45,63;R$ 209,90;R$ 108,98;R$ 155,60;R$ 87,07;R$ 34,09;R$ 204,94;R$ 484,28;R$ 127,77;R$ 196,13;R$ 271,58;R$ 77,58;R$ 0,00;R$ 0,00;R$ 0,00
R$2 313,73;20/02/2026;R$ 0,00;R$ 70,58;R$ 90,97;R$ 176,03;R$ 63,59;R$ 208,85;R$ 157,26;R$ 419,77;R$ 472,01;R$ 358,16;R$ 63,19;R$ 89,88;R$ 143,44;R$ 0,00;R$ 0,00
R$2 482,32;21/02/2026;R$ 0,00;R$ 34,21;R$ 391,09;R$ 80,97;R$ 21,50;R$ 32,90;R$ 235,36;R$ 396,21;R$ 292,22;R$ 732,75;R$ 171,34;R$ 67,48;R$ 26,29;R$ 0,00;R$ 0,00
R$1 487,64;22/02/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 13,00;R$ 88,18;R$ 53,80;R$ 15,21;R$ 75,69;R$ 336,75;R$ 62,16;R$ 599,75;R$ 243,10;R$ 0,00;R$ 0,00;R$ 0,00
R$1 933,04;23/02/2026;R$ 0,00;R$ 99,69;R$ 132,98;R$ 102,96;R$ 130,46;R$ 149,53;R$ 207,02;R$ 286,18;R$ 275,35;R$ 337,42;R$ 143,55;R$ 0,00;R$ 67,90;R$ 0,00;R$ 0,00
R$2 685,97;24/02/2026;R$ 17,40;R$ 29,99;R$ 91,67;R$ 27,67;R$ 174,86;R$ 251,17;R$ 183,19;R$ 427,96;R$ 322,29;R$ 475,00;R$ 140,87;R$ 392,45;R$ 168,85;R$ 0,00;R$ 0,00
R$2 266,38;25/02/2026;R$ 0,00;R$ 45,11;R$ 63,69;R$ 14,50;R$ 103,95;R$ 398,85;R$ 103,18;R$ 80,49;R$ 198,88;R$ 511,85;R$ 485,48;R$ 194,76;R$ 65,64;R$ 0,00;R$ 0,00
R$2 543,12;26/02/2026;R$ 0,00;R$ 64,91;R$ 120,38;R$ 142,19;R$ 246,85;R$ 118,36;R$ 114,16;R$ 291,39;R$ 298,18;R$ 359,80;R$ 372,89;R$ 414,01;R$ 0,00;R$ 0,00;R$ 0,00
R$3 052,69;27/02/2026;R$ 0,00;R$ 84,92;R$ 489,08;R$ 425,48;R$ 71,44;R$ 107,27;R$ 232,71;R$ 320,89;R$ 241,82;R$ 580,54;R$ 228,69;R$ 168,63;R$ 66,77;R$ 34,45;R$ 0,00
R$4 566,85;28/02/2026;R$ 0,00;R$ 47,08;R$ 472,26;R$ 545,74;R$ 205,48;R$ 270,18;R$ 441,65;R$ 611,06;R$ 550,68;R$ 767,32;R$ 166,54;R$ 343,22;R$ 145,64;R$ 0,00;R$ 0,00
R$2 561,48;01/03/2026;R$ 0,00;R$ 0,00;R$ 57,53;R$ 81,97;R$ 170,54;R$ 193,69;R$ 155,16;R$ 553,19;R$ 239,73;R$ 551,87;R$ 368,38;R$ 189,42;R$ 0,00;R$ 0,00;R$ 0,00
R$2 736,32;02/03/2026;R$ 0,00;R$ 58,00;R$ 30,69;R$ 230,13;R$ 194,65;R$ 65,89;R$ 364,90;R$ 446,76;R$ 457,28;R$ 473,26;R$ 221,05;R$ 34,98;R$ 158,73;R$ 0,00;R$ 0,00
R$2 495,80;03/03/2026;R$ 0,00;R$ 135,86;R$ 270,12;R$ 139,12;R$ 98,77;R$ 304,24;R$ 163,76;R$ 250,32;R$ 333,14;R$ 192,75;R$ 398,88;R$ 124,37;R$ 84,47;R$ 0,00;R$ 0,00
R$2 554,84;04/03/2026;R$ 13,41;R$ 61,48;R$ 221,57;R$ 105,59;R$ 126,83;R$ 288,49;R$ 76,78;R$ 302,76;R$ 512,96;R$ 322,12;R$ 300,63;R$ 59,18;R$ 134,65;R$ 41,80;R$ 0,00
R$3 781,17;05/03/2026;R$ 14,00;R$ 224,40;R$ 538,40;R$ 197,89;R$ 127,10;R$ 238,15;R$ 322,29;R$ 469,51;R$ 395,89;R$ 547,96;R$ 384,12;R$ 258,42;R$ 77,04;R$ 0,00;R$ 0,00
R$2 942,73;06/03/2026;R$ 0,00;R$ 54,57;R$ 273,16;R$ 141,35;R$ 49,41;R$ 168,08;R$ 124,56;R$ 102,77;R$ 546,93;R$ 294,63;R$ 777,16;R$ 275,96;R$ 94,66;R$ 39,49;R$ 0,00
R$5 126,76;07/03/2026;R$ 0,00;R$ 137,27;R$ 564,20;R$ 412,03;R$ 531,52;R$ 491,11;R$ 594,48;R$ 647,06;R$ 611,98;R$ 221,08;R$ 320,01;R$ 563,39;R$ 32,63;R$ 0,00;R$ 0,00
R$2 912,88;08/03/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,01;R$ 86,59;R$ 74,46;R$ 296,34;R$ 731,31;R$ 455,75;R$ 344,26;R$ 533,63;R$ 269,28;R$ 121,25;R$ 0,00;R$ 0,00
R$2 735,55;09/03/2026;R$ 23,71;R$ 160,94;R$ 177,84;R$ 56,87;R$ 96,66;R$ 121,55;R$ 379,91;R$ 455,81;R$ 310,96;R$ 477,32;R$ 212,06;R$ 257,24;R$ 28,39;R$ 0,00;R$ 0,00
R$2 043,47;10/03/2026;R$ 0,00;R$ 71,58;R$ 132,39;R$ 16,50;R$ 170,94;R$ 183,16;R$ 276,00;R$ 188,76;R$ 355,56;R$ 122,29;R$ 380,93;R$ 21,89;R$ 123,47;R$ 0,00;R$ 0,00
R$2 229,55;11/03/2026;R$ 23,90;R$ 242,86;R$ 166,43;R$ 131,45;R$ 53,18;R$ 78,82;R$ 237,53;R$ 177,63;R$ 524,49;R$ 149,65;R$ 320,37;R$ 100,76;R$ 7,00;R$ 39,38;R$ 0,00
R$2 882,91;12/03/2026;R$ 0,00;R$ 48,18;R$ 391,02;R$ 74,58;R$ 159,35;R$ 125,95;R$ 155,06;R$ 302,50;R$ 487,16;R$ 306,01;R$ 251,36;R$ 495,74;R$ 86,00;R$ 0,00;R$ 0,00
R$3 363,28;13/03/2026;R$ 0,00;R$ 95,48;R$ 305,80;R$ 205,28;R$ 79,73;R$ 111,07;R$ 423,36;R$ 391,18;R$ 452,37;R$ 670,68;R$ 180,51;R$ 337,40;R$ 87,56;R$ 22,86;R$ 0,00
R$3 720,69;14/03/2026;R$ 0,00;R$ 233,92;R$ 206,15;R$ 339,34;R$ 111,06;R$ 153,25;R$ 24,09;R$ 312,93;R$ 683,11;R$ 442,64;R$ 687,44;R$ 205,78;R$ 320,98;R$ 0,00;R$ 0,00
R$1 412,82;15/03/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8,00;R$ 39,40;R$ 23,87;R$ 31,09;R$ 481,04;R$ 222,43;R$ 434,72;R$ 116,39;R$ 55,88;R$ 0,00;R$ 0,00
R$2 388,77;16/03/2026;R$ 0,00;R$ 220,76;R$ 236,74;R$ 111,33;R$ 183,15;R$ 100,32;R$ 98,67;R$ 324,18;R$ 605,10;R$ 276,35;R$ 203,94;R$ 1,93;R$ 26,30;R$ 0,00;R$ 0,00
R$2 302,95;17/03/2026;R$ 0,00;R$ 170,53;R$ 83,58;R$ 105,68;R$ 180,84;R$ 84,37;R$ 387,86;R$ 359,67;R$ 158,84;R$ 348,88;R$ 157,56;R$ 265,14;R$ 0,00;R$ 0,00;R$ 0,00
R$2 124,35;18/03/2026;R$ 0,00;R$ 246,85;R$ 153,66;R$ 274,01;R$ 122,09;R$ 0,00;R$ 151,67;R$ 146,79;R$ 239,71;R$ 206,15;R$ 362,78;R$ 200,64;R$ 20,00;R$ 0,00;R$ 0,00
R$2 148,64;19/03/2026;R$ 0,00;R$ 39,90;R$ 189,31;R$ 223,06;R$ 218,43;R$ 60,60;R$ 139,94;R$ 159,47;R$ 290,57;R$ 383,78;R$ 37,62;R$ 405,96;R$ 0,00;R$ 0,00;R$ 0,00
R$2 353,62;20/03/2026;R$ 0,00;R$ 45,38;R$ 32,90;R$ 120,45;R$ 102,78;R$ 94,16;R$ 207,92;R$ 293,81;R$ 382,13;R$ 406,37;R$ 254,78;R$ 264,99;R$ 147,95;R$ 0,00;R$ 0,00
R$2 579,35;21/03/2026;R$ 0,00;R$ 35,53;R$ 266,98;R$ 328,31;R$ 143,47;R$ 89,87;R$ 153,32;R$ 278,75;R$ 76,56;R$ 623,67;R$ 439,33;R$ 62,98;R$ 80,58;R$ 0,00;R$ 0,00
R$1 347,31;22/03/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 105,98;R$ 44,98;R$ 0,00;R$ 314,71;R$ 251,74;R$ 264,60;R$ 194,97;R$ 153,33;R$ 17,00;R$ 0,00;R$ 0,00;R$ 0,00
R$2 455,44;23/03/2026;R$ 0,00;R$ 145,33;R$ 402,27;R$ 194,65;R$ 36,19;R$ 167,86;R$ 77,80;R$ 196,90;R$ 466,38;R$ 303,20;R$ 109,45;R$ 273,35;R$ 82,06;R$ 0,00;R$ 0,00
R$1 920,18;24/03/2026;R$ 10,90;R$ 54,18;R$ 273,13;R$ 93,83;R$ 146,85;R$ 131,67;R$ 58,60;R$ 284,24;R$ 367,94;R$ 230,34;R$ 108,46;R$ 0,00;R$ 170,94;R$ 0,00;R$ 0,00
R$1 663,23;25/03/2026;R$ 0,00;R$ 67,79;R$ 14,30;R$ 158,76;R$ 136,39;R$ 119,77;R$ 86,46;R$ 80,62;R$ 251,23;R$ 199,22;R$ 244,47;R$ 304,22;R$ 0,00;R$ 0,00;R$ 0,00
R$2 391,49;26/03/2026;R$ 0,00;R$ 152,04;R$ 367,09;R$ 96,98;R$ 243,94;R$ 21,89;R$ 300,73;R$ 243,33;R$ 647,71;R$ 161,15;R$ 77,39;R$ 62,34;R$ 16,90;R$ 0,00;R$ 0,00
R$2 861,41;27/03/2026;R$ 0,00;R$ 72,28;R$ 268,62;R$ 338,47;R$ 17,90;R$ 107,98;R$ 278,85;R$ 228,50;R$ 555,57;R$ 395,45;R$ 228,35;R$ 239,97;R$ 129,47;R$ 0,00;R$ 0,00
R$3 575,16;28/03/2026;R$ 0,00;R$ 267,41;R$ 768,18;R$ 196,24;R$ 361,90;R$ 284,68;R$ 144,06;R$ 490,71;R$ 439,12;R$ 254,00;R$ 164,34;R$ 18,00;R$ 186,52;R$ 0,00;R$ 0,00
R$1 344,64;29/03/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 91,96;R$ 43,80;R$ 83,38;R$ 71,77;R$ 407,80;R$ 144,44;R$ 161,04;R$ 228,91;R$ 111,54;R$ 0,00;R$ 0,00
R$2 208,04;30/03/2026;R$ 0,00;R$ 59,70;R$ 307,48;R$ 16,39;R$ 163,26;R$ 76,78;R$ 246,72;R$ 158,85;R$ 276,90;R$ 522,21;R$ 171,63;R$ 208,12;R$ 0,00;R$ 0,00;R$ 0,00
R$2 094,46;31/03/2026;R$ 0,00;R$ 50,60;R$ 313,30;R$ 66,38;R$ 56,41;R$ 262,74;R$ 311,41;R$ 231,70;R$ 151,25;R$ 244,42;R$ 288,88;R$ 0,00;R$ 117,37;R$ 0,00;R$ 0,00
R$2 620,39;01/04/2026;R$ 0,00;R$ 164,12;R$ 30,70;R$ 34,98;R$ 169,29;R$ 300,83;R$ 77,59;R$ 352,78;R$ 357,77;R$ 447,41;R$ 236,10;R$ 319,41;R$ 63,63;R$ 65,78;R$ 0,00
R$3 669,40;02/04/2026;R$ 0,00;R$ 55,77;R$ 163,45;R$ 180,14;R$ 401,36;R$ 107,68;R$ 217,50;R$ 442,35;R$ 296,43;R$ 770,28;R$ 761,42;R$ 142,56;R$ 130,46;R$ 0,00;R$ 0,00
R$1 481,32;03/04/2026;R$ 0,00;R$ 83,27;R$ 239,94;R$ 213,53;R$ 74,82;R$ 87,81;R$ 116,58;R$ 89,87;R$ 172,61;R$ 171,89;R$ 113,85;R$ 99,66;R$ 17,49;R$ 0,00;R$ 0,00
R$3 497,52;04/04/2026;R$ 0,00;R$ 62,48;R$ 648,40;R$ 397,88;R$ 184,80;R$ 107,97;R$ 341,05;R$ 605,20;R$ 412,95;R$ 358,29;R$ 222,31;R$ 142,78;R$ 13,41;R$ 0,00;R$ 0,00
R$ 793,16;05/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 86,79;R$ 0,00;R$ 0,00;R$ 22,99;R$ 59,18;R$ 69,80;R$ 359,37;R$ 87,78;R$ 107,25;R$ 0,00;R$ 0,00;R$ 0,00
R$1 839,43;06/04/2026;R$ 0,00;R$ 42,79;R$ 136,84;R$ 93,29;R$ 28,78;R$ 49,00;R$ 365,32;R$ 217,49;R$ 252,72;R$ 269,94;R$ 212,52;R$ 15,00;R$ 155,74;R$ 0,00;R$ 0,00
R$2 353,77;07/04/2026;R$ 0,00;R$ 171,97;R$ 180,84;R$ 197,65;R$ 326,44;R$ 162,36;R$ 71,17;R$ 236,25;R$ 337,00;R$ 161,22;R$ 158,30;R$ 52,58;R$ 297,99;R$ 0,00;R$ 0,00
R$2 687,36;08/04/2026;R$ 116,02;R$ 60,19;R$ 431,53;R$ 44,49;R$ 75,66;R$ 191,76;R$ 275,42;R$ 407,36;R$ 387,11;R$ 242,80;R$ 466,57;R$ 6,80;R$ 97,67;R$ 0,00;R$ 0,00
R$3 071,99;09/04/2026;R$ 0,00;R$ 268,66;R$ 274,96;R$ 240,86;R$ 301,19;R$ 151,16;R$ 205,82;R$ 300,18;R$ 352,67;R$ 458,23;R$ 368,07;R$ 150,19;R$ 0,00;R$ 0,00;R$ 0,00
R$2 991,62;10/04/2026;R$ 0,00;R$ 88,90;R$ 312,15;R$ 80,39;R$ 199,21;R$ 49,68;R$ 458,13;R$ 271,62;R$ 644,05;R$ 602,30;R$ 185,28;R$ 99,91;R$ 0,00;R$ 0,00;R$ 0,00
R$4 022,10;11/04/2026;R$ 0,00;R$ 53,98;R$ 581,41;R$ 407,22;R$ 374,68;R$ 149,56;R$ 374,07;R$ 324,32;R$ 347,10;R$ 485,01;R$ 781,25;R$ 78,07;R$ 65,43;R$ 0,00;R$ 0,00
R$1 915,62;12/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 89,49;R$ 128,26;R$ 150,20;R$ 209,64;R$ 229,34;R$ 217,91;R$ 428,34;R$ 323,40;R$ 63,47;R$ 75,57;R$ 0,00;R$ 0,00
R$2 112,65;13/04/2026;R$ 0,00;R$ 10,00;R$ 76,78;R$ 219,12;R$ 79,38;R$ 131,61;R$ 268,50;R$ 245,19;R$ 137,06;R$ 381,90;R$ 397,62;R$ 108,35;R$ 57,14;R$ 0,00;R$ 0,00
R$2 537,36;14/04/2026;R$ 0,00;R$ 221,18;R$ 135,41;R$ 393,33;R$ 124,28;R$ 112,97;R$ 301,08;R$ 146,74;R$ 198,33;R$ 650,03;R$ 254,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$2 848,64;15/04/2026;R$ 0,00;R$ 143,45;R$ 464,20;R$ 93,57;R$ 113,09;R$ 162,56;R$ 150,10;R$ 301,55;R$ 591,49;R$ 358,50;R$ 271,12;R$ 199,01;R$ 0,00;R$ 0,00;R$ 0,00
R$2 615,41;16/04/2026;R$ 0,00;R$ 86,58;R$ 354,96;R$ 51,37;R$ 126,45;R$ 106,26;R$ 301,03;R$ 247,15;R$ 344,00;R$ 225,76;R$ 375,78;R$ 226,93;R$ 169,14;R$ 0,00;R$ 0,00
R$2 920,90;17/04/2026;R$ 0,00;R$ 140,00;R$ 369,05;R$ 122,35;R$ 27,90;R$ 280,41;R$ 31,00;R$ 274,89;R$ 333,41;R$ 401,55;R$ 465,68;R$ 197,46;R$ 277,20;R$ 0,00;R$ 0,00
R$2 594,83;18/04/2026;R$ 0,00;R$ 123,28;R$ 92,27;R$ 223,74;R$ 95,59;R$ 105,16;R$ 104,60;R$ 482,08;R$ 335,68;R$ 521,81;R$ 259,60;R$ 137,94;R$ 113,08;R$ 0,00;R$ 0,00
R$1 631,85;19/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 99,46;R$ 161,18;R$ 21,89;R$ 11,99;R$ 123,75;R$ 450,14;R$ 343,03;R$ 343,01;R$ 77,40;R$ 0,00;R$ 0,00;R$ 0,00
R$2 784,07;20/04/2026;R$ 0,00;R$ 74,48;R$ 382,06;R$ 138,16;R$ 186,67;R$ 281,36;R$ 170,21;R$ 119,91;R$ 649,80;R$ 263,05;R$ 380,31;R$ 21,90;R$ 116,16;R$ 0,00;R$ 0,00
R$1 825,22;21/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5,00;R$ 41,58;R$ 78,98;R$ 145,09;R$ 274,67;R$ 291,64;R$ 398,60;R$ 509,07;R$ 80,59;R$ 0,00;R$ 0,00;R$ 0,00
R$2 607,82;22/04/2026;R$ 0,00;R$ 122,48;R$ 160,25;R$ 214,61;R$ 140,25;R$ 93,47;R$ 159,35;R$ 91,96;R$ 496,05;R$ 250,80;R$ 368,29;R$ 331,87;R$ 67,78;R$ 110,66;R$ 0,00
R$1 560,39;23/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 60,69;R$ 165,33;R$ 47,37;R$ 25,11;R$ 509,03;R$ 225,71;R$ 128,15;R$ 149,36;R$ 249,64;R$ 0,00;R$ 0,00;R$ 0,00
R$3 122,60;24/04/2026;R$ 0,00;R$ 103,96;R$ 230,67;R$ 132,96;R$ 53,50;R$ 85,64;R$ 308,00;R$ 253,46;R$ 502,81;R$ 645,26;R$ 421,08;R$ 385,26;R$ 0,00;R$ 0,00;R$ 0,00
R$2 140,26;25/04/2026;R$ 0,00;R$ 0,00;R$ 398,86;R$ 168,74;R$ 157,16;R$ 28,60;R$ 153,56;R$ 101,37;R$ 444,29;R$ 293,94;R$ 196,62;R$ 105,16;R$ 91,96;R$ 0,00;R$ 0,00
R$1 074,89;26/04/2026;R$ 0,00;R$ 0,00;R$ 0,00;R$ 108,35;R$ 43,81;R$ 22,00;R$ 85,36;R$ 180,92;R$ 313,54;R$ 110,70;R$ 210,21;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
R$2 190,40;27/04/2026;R$ 0,00;R$ 13,20;R$ 80,97;R$ 204,19;R$ 93,07;R$ 127,18;R$ 209,42;R$ 178,53;R$ 301,56;R$ 748,14;R$ 160,86;R$ 35,00;R$ 38,28;R$ 0,00;R$ 0,00
R$1 967,85;28/04/2026;R$ 0,00;R$ 116,78;R$ 326,60;R$ 147,15;R$ 128,58;R$ 90,97;R$ 187,48;R$ 177,21;R$ 181,02;R$ 406,03;R$ 58,08;R$ 97,46;R$ 50,49;R$ 0,00;R$ 0,00
